DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Premis Desc,Weapon Desc,Status Desc,Crm Cd 1,LOCATION,Cross Street,LAT,LON
01/08/2020 12:00:00 AM,2230,3,Southwest,624,BATTERY - SIMPLE ASSAULT,36,F,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,624.0,1100 W  39TH                         PL,,34.0141,-118.2978
01/01/2020 12:00:00 AM,330,1,Central,624,BATTERY - SIMPLE ASSAULT,25,M,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,624.0,700 S  HILL                         ST,,34.0459,-118.2545
01/01/2020 12:00:00 AM,1730,15,N Hollywood,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),76,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,745.0,5400    CORTEEN                      PL,,34.1685,-118.4019
01/01/2020 12:00:00 AM,415,19,Mission,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",31,X,BEAUTY SUPPLY STORE,,Invest Cont,740.0,14400    TITUS                        ST,,34.2198,-118.4468
01/01/2020 12:00:00 AM,30,1,Central,121,"RAPE, FORCIBLE",25,F,NIGHT CLUB (OPEN EVENINGS ONLY),UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,121.0,700 S  BROADWAY,,34.0452,-118.2534
01/02/2020 12:00:00 AM,1315,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,DEPARTMENT STORE,,Invest Cont,442.0,700 S  FIGUEROA                     ST,,34.0483,-118.2631
01/04/2020 12:00:00 AM,200,1,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",23,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,341.0,700    BERNARD                      ST,,34.0677,-118.2398
01/04/2020 12:00:00 AM,2200,1,Central,330,BURGLARY FROM VEHICLE,29,M,STREET,ROCK/THROWN OBJECT,Invest Cont,330.0,15TH,OLIVE,34.0359,-118.2648
01/05/2020 12:00:00 AM,955,1,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,35,M,PARKING LOT,VERBAL THREAT,Invest Cont,930.0,800 N  ALAMEDA                      ST,,34.0615,-118.2412
01/05/2020 12:00:00 AM,1355,1,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",41,M,HOTEL,,Adult Arrest,341.0,800 S  OLIVE                        ST,,34.0452,-118.2569
01/08/2020 12:00:00 AM,1805,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),24,F,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",,Invest Cont,442.0,100 S  LOS ANGELES                  ST,,34.0515,-118.2424
11/30/2020 12:00:00 AM,730,19,Mission,626,INTIMATE PARTNER - SIMPLE ASSAULT,24,F,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,626.0,14200    BERG                         ST,,34.3055,-118.4439
11/28/2020 12:00:00 AM,2018,11,Northeast,626,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,626.0,3200 W  AVENUE 32,,34.1186,-118.245
02/22/2020 12:00:00 AM,1900,5,Harbor,440,THEFT PLAIN - PETTY ($950 & UNDER),29,F,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,440.0,PACIFIC COAST,VERMONT,33.7926,-118.3043
11/19/2020 12:00:00 AM,1200,9,Van Nuys,354,THEFT OF IDENTITY,46,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,354.0,14700    FRIAR                        ST,,34.1857,-118.4574
01/14/2020 12:00:00 AM,1330,1,Central,210,ROBBERY,66,M,ALLEY,FOLDING KNIFE,Invest Cont,210.0,7TH,HILL,34.0463,-118.255
09/09/2020 12:00:00 AM,1735,9,Van Nuys,354,THEFT OF IDENTITY,40,M,CONDOMINIUM/TOWNHOUSE,,Invest Cont,354.0,13600    LEADWELL                     ST,,34.2039,-118.4312
01/14/2020 12:00:00 AM,1730,1,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",31,M,DEPARTMENT STORE,,Invest Cont,341.0,700 W  7TH                          ST,,34.048,-118.2577
01/15/2020 12:00:00 AM,1445,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),27,M,DEPARTMENT STORE,,Invest Cont,442.0,700 W  7TH                          ST,,34.048,-118.2577
12/28/2020 12:00:00 AM,1,10,West Valley,354,THEFT OF IDENTITY,46,F,SINGLE FAMILY DWELLING,,Invest Cont,354.0,5700    ENFIELD                      AV,,34.1748,-118.5228
